"Population Size","Mutation Rate","Crossover Rate","Number of Generations","Number of Elitism","Best Chromosome","Fitness Chromosome","Max fitness","Test Case"
"1000","0.0010","0.8","1000","10","1111110001100010001011100","20","21","4 -1 -1 -1 -1 
-1 -1 -1 5 -1 
-1 2 1 -1 3 
-1 -1 -1 3 -1 
-1 3 -1 -1 -1 
"
"1000","0.0010","0.8","1000","10","1111010011100010000011101","20","21","4 -1 -1 -1 -1 
-1 -1 -1 5 -1 
-1 2 1 -1 3 
-1 -1 -1 3 -1 
-1 3 -1 -1 -1 
"
"1000","0.0010","0.8","1000","10","1110110001000111000010010","19","21","4 -1 -1 -1 -1 
-1 -1 -1 5 -1 
-1 2 1 -1 3 
-1 -1 -1 3 -1 
-1 3 -1 -1 -1 
"
